"data.circle","data.time_span","data.color"
"none",14074.52508,"white"
"top-left",6916.340184,"Blue"
"top-right",4049.61581,"Red"
"bottom-left",3625.05715,"Orange"
"bottom-right",3817.79388,"Red"
"center",19810.87671,"Yellow"
"none",16879.924476,"white"
"top-left",5696.17758,"Blue"
"top-right",7285.30844,"Green"
"bottom-left",4216.03043,"Orange"
"bottom-right",1979.04579,"Yellow"
"center",11242.524925,"Red"
"none",21399.08837,"white"
"top-left",6543.28457,"Blue"
"top-right",8999.53563,"Green"
"bottom-left",2876.71183,"Blue"
"bottom-right",2868.78586,"Yellow"
"center",14934.80241,"Orange"
"none",13580.26033,"white"
"top-left",11479.33852,"Red"
"top-right",5816.19915,"Green"
"bottom-left",3136.97435,"Orange"
"bottom-right",8308.87015,"Red"
"center",11643.07268,"Green"
"none",17487.11018,"white"
"top-left",3823.984113,"Blue"
"top-right",9843.07356,"Yellow"
"bottom-left",5222.06024,"Orange"
"bottom-right",5698.61407,"Green"
"center",14175.45073,"Red"
"none",17648.8992792,"white"
"top-left",1149.74639,"Blue"
"top-right",7413.54152,"Yellow"
"bottom-left",3273.15771,"Red"
"bottom-right",9003.64612,"Blue"
"center",12962.86631,"Orange"
"none",14686.06537,"white"
"top-left",5299.6716,"Yellow"
"top-right",4881.36662,"Green"
"bottom-left",4213.81993,"Red"
"bottom-right",7013.72888,"Orange"
"center",10880.84735,"Blue"
"none",10350.7035777,"white"
"top-left",8121.123172,"Yellow"
"top-right",13123.95432,"Green"
"bottom-left",6396.34796,"Red"
"bottom-right",7063.26511,"Green"
"center",11546.49239,"Orange"
"none",14370.29218,"white"
"top-left",9338.61873,"Yellow"
"top-right",5562.773167,"Blue"
"bottom-left",6231.10365,"Red"
"bottom-right",3748.32108,"Orange"
"center",12061.31961,"Green"
"none",17480.028184,"white"
"top-left",9018.4672,"Yellow"
"top-right",5875.62393,"Blue"
"bottom-left",10530.36207,"Red"
"bottom-right",7410.421053,"Green"
"center",7798.07809,"Blue"
"none",12768.08289,"white"
"top-left",9693.29881,"Yellow"
"top-right",6223.31476,"Orange"
"bottom-left",2843.65772,"Red"
"bottom-right",11078.4233471,"Blue"
"center",12512.65011,"Green"
"none",19493.013732,"white"
"top-left",4519.61515,"Yellow"
"top-right",4749.07102,"Orange"
"bottom-left",3035.99986,"Green"
"bottom-right",558.9005,"Blue"
"center",15481.48652,"Orange"
"none",9052.77237,"white"
"top-left",13672.979221,"Yellow"
"top-right",12614.4306,"Red"
"bottom-left",2880.96006,"Green"
"bottom-right",4701.4994,"Orange"
"center",15039.62265,"Blue"
"none",14242.89248,"white"
"top-left",6136.7683757,"Yellow"
"top-right",11430.92585,"Red"
"bottom-left",3505.83608,"Blue"
"bottom-right",5437.06308,"Orange"
"center",8713.34501,"Yellow"
"none",18435.32135,"white"
"top-left",5531.88619,"Red"
"top-right",15604.70512,"Green"
"bottom-left",1393.77625,"Green"
"bottom-right",4163.23137,"Red"
"center",12358.53884,"Orange"
"none",22880.42268,"white"
"top-left",8322.0776,"Yellow"
"top-right",5306.55277,"Blue"
"bottom-left",4966.795358,"Green"
"bottom-right",4383.45726,"Orange"
"center",13798.2049,"Red"
"none",11799.89962,"white"
"top-left",3779.94553,"Yellow"
"top-right",12797.66104,"Blue"
"bottom-left",1983.55006,"Green"
"bottom-right",4481.18661,"Red"
"center",12753.914071,"Blue"
"none",14964.17844,"white"
"top-left",6523.82863,"Yellow"
"top-right",13153.24161,"Orange"
"bottom-left",6478.10855,"Green"
"bottom-right",5527.1616,"Blue"
"center",12010.989818,"Red"
"none",11894.47633,"white"
"top-left",5981.07208,"Yellow"
"top-right",9169.21158,"Orange"
"bottom-left",1768.61854,"Blue"
"bottom-right",2732.01376,"Green"
"center",18654.77341,"Orange"
"none",16754.88345,"white"
"top-left",3918.99264,"Yellow"
"top-right",10490.69304,"Red"
"bottom-left",9649.01244,"Blue"
"bottom-right",8905.06308,"Orange"
"center",11140.90177,"Green"
"none",18682.64865,"white"
"top-left",3347.50907,"Yellow"
"top-right",2579.04563,"Red"
"bottom-left",2940.68756,"Blue"
"bottom-right",8101.92071,"Red"
"center",12428.7058264,"Orange"
"none",12659.66571,"white"
"top-left",6313.34456,"Yellow"
"top-right",11920.97242,"Green"
"bottom-left",6771.31965,"Blue"
"bottom-right",9596.89986,"Orange"
"center",12275.40878,"Red"
"none",18813.3810346,"white"
"top-left",3676.11378,"Yellow"
"top-right",3291.33087,"Green"
